name,year,month,lue,t_opt,t1,t2,t,W
Sundarbans,2017,10,2.7067673604263307,19.75724416061462,0.9999675210742832,0.7218279487359636,28.02841867600692,1.5
Sundarbans,2017,11,2.91697877498605,19.75724416061462,0.9999675210742832,0.9371336148214262,24.318992040030736,1.2450997436103215
Sundarbans,2017,12,3.062511931492932,19.75724416061462,0.9999675210742832,0.9962630193361268,21.15626813039104,1.2296395486797567
Sundarbans,2018,1,2.6266848126095557,18.473071695210297,0.9988326681520074,0.9912235531162353,18.473071695210297,1.061215419815109
Sundarbans,2018,2,2.2448474103935845,18.473071695210297,0.9988326681520074,0.9014750465069163,23.89393523346794,0.9972388586132576
Sundarbans,2018,3,1.4506333732780756,18.473071695210297,0.9988326681520074,0.6306690747219518,27.873378906673974,0.9211361407221693
Sundarbans,2018,4,1.7129946027646714,18.473071695210297,0.9988326681520074,0.5719385197863346,28.568834454018745,1.1994836287236108
Sundarbans,2018,5,1.7161729722777648,18.473071695210297,0.9988326681520074,0.502838132314292,29.38370389633344,1.36679060697752
Sundarbans,2018,6,1.7440463432583673,18.473071695210297,0.9988326681520074,0.46562202371629596,29.829928031342885,1.5
Sundarbans,2018,7,1.9552544624663533,18.473071695210297,0.9988326681520074,0.5220100510824566,29.156631312123338,1.5
Sundarbans,2018,8,1.9190181517467662,18.473071695210297,0.9988326681520074,0.5123357220649976,29.27107284833361,1.5
Sundarbans,2018,9,1.8542929996733386,18.473071695210297,0.9988326681520074,0.49505555396459994,29.47637406243399,1.5
Sundarbans,2018,10,2.348452089038527,18.473071695210297,0.9988326681520074,0.626985784032301,27.91732556422838,1.4999987797488896
Sundarbans,2018,11,2.4695668279431358,18.473071695210297,0.9988326681520074,0.8574375354548571,24.74250502235786,1.1534115663065387
Sundarbans,2018,12,2.755840116237044,18.473071695210297,0.9988326681520074,0.9955551862867501,20.078595963921536,1.108551822631279
Sundarbans,2019,1,2.4556615500154217,20.005358383971164,0.999998752622499,0.9912235531162353,20.005358383971164,0.9909629790246707
Sundarbans,2019,2,3.0098283379187225,20.005358383971164,0.999998752622499,0.976022084999402,23.195691847846284,1.233510912760583
Sundarbans,2019,3,2.366682869082412,20.005358383971164,0.999998752622499,0.8323141368052696,26.698089949981288,1.1374062531070193
Sundarbans,2019,4,1.392807650020148,20.005358383971164,0.999998752622499,0.6181659743570098,29.55485748459911,0.9012534613260533
