name,year,month,ndvi
Cairns,2018,7,0.745609529862061
Cairns,2018,8,0.741952654592387
Cairns,2018,9,0.6130495306380619
Cairns,2018,10,0.6600110300125615
Cairns,2018,11,0.6047696710351264
Cairns,2018,12,0.5668011708972216
Cairns,2019,1,0.49598655725518864
Cairns,2019,2,0.5817890260027907
Cairns,2019,3,0.49624356527938923
Cairns,2019,4,0.605590050870722
Cairns,2019,5,0.6528778495611968
Cairns,2019,6,0.700134406487147
Cairns,2019,7,0.7378266155719757
Cairns,2019,8,0.7744298704665545
Cairns,2019,9,0.6211836754065481
Cairns,2019,10,0.6210914413192872
Cairns,2019,11,0.6056415022456503
Cairns,2019,12,0.613933477550745
Can Gio,2014,1,0.6758833328184632
Can Gio,2014,2,0.7235970190567292
Can Gio,2014,3,0.6602525405205751
Can Gio,2014,4,0.4648299439007764
Can Gio,2014,5,0.5504605214768235
Can Gio,2014,6,0.46456119848076416
Can Gio,2014,7,0.5274829934583782
Can Gio,2014,8,0.5123308405058283
Can Gio,2014,9,0.4649626456087616
Can Gio,2014,10,0.5818171033375331
Can Gio,2014,11,0.6983156849411475
Can Gio,2014,12,0.5972541778566735
Can Gio,2015,1,0.6757361552737794
Can Gio,2015,2,0.667740373365588
Can Gio,2015,3,0.6443299013485746
Can Gio,2015,4,0.6213059882478317
Can Gio,2015,5,0.5425433494420366
Can Gio,2015,6,0.5737827991143727
Can Gio,2015,7,0.49600802301345914
Can Gio,2015,8,0.5905235853082561
Can Gio,2015,9,0.6137489342788822
Can Gio,2015,10,0.5503924389262558
Can Gio,2015,11,0.738377475388304
Can Gio,2015,12,0.7685761496910682
Can Gio,2016,1,0.7619649843834545
Can Gio,2016,2,0.6914529191489802
Can Gio,2016,3,0.6915150785446167
Can Gio,2016,4,0.5818838852477239
Can Gio,2016,5,0.4101991161056187
Can Gio,2016,6,0.5043051842451746
Can Gio,2016,7,0.4873220565918052
Can Gio,2016,8,0.42758943109729225
Can Gio,2016,9,0.4116947996484801
Can Gio,2016,10,0.4886828963369916
Can Gio,2016,11,0.7155431518524268
Can Gio,2016,12,0.5044935657625409
Can Gio,2017,1,0.612984341013961
Can Gio,2017,2,0.6594030098481611
Can Gio,2017,3,0.7303842938209544
Can Gio,2017,4,0.5972264409065247
Can Gio,2017,5,0.44966069160490574
Can Gio,2017,6,0.4964987540276746
Can Gio,2017,7,0.5193730347800243
Can Gio,2017,8,0.504124478639565
Can Gio,2017,9,0.4879243324345548
Can Gio,2017,10,0.4575490354396348
Can Gio,2017,11,0.5041314711438933
Can Gio,2017,12,0.7142842163410792
Can Gio,2018,1,0.5354320423115307
Can Gio,2018,2,0.6915158302823512
Can Gio,2018,3,0.6681570410728455
Can Gio,2018,4,0.6284030506403089
Can Gio,2018,5,0.5503569752612011
Can Gio,2018,6,0.566482730887153
Can Gio,2018,7,0.42771185083048685
Can Gio,2018,8,0.39656524095072954
Can Gio,2018,9,0.5196379650092201
Can Gio,2018,10,0.7068937854333357
Can Gio,2018,11,0.6605658233074797
Can Gio,2018,12,0.5903903421320871
Can Gio,2019,1,0.7766480995758153
Can Gio,2019,2,0.6910983513190052
Can Gio,2019,3,0.6126581020332855
Can Gio,2019,4,0.5980337819820303
Can Gio,2019,5,0.5268311976033008
Can Gio,2019,6,0.48855165674768647
Can Gio,2019,7,0.5438753292917892
Can Gio,2019,8,0.5202009347545431
Can Gio,2019,9,0.5349575830440896
Can Gio,2019,10,0.6840508357802434
Can Gio,2019,11,0.6594079816513257
Can Gio,2019,12,0.6991272483553205
